Organization;Own BIC;Corr Bic;Status DateTime;Service;Pending;Valid From;Valid To;Version;History;Gen Meth;Type;Export Date;Issue Datetime;Status;Permission;Last modified by
P01HBS;ABSGCHGG;BDGLCH22;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2008-10-20T16:19:14Z;Enabled;;@Support
P01HBS;ABSGCHGG;BDLODZAL;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2011-06-06T14:25:58Z;Enabled;;@Support
P01HBS;ABSGCHGG;BDLODZAL;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2011-06-19T07:58:40Z;Enabled;;@Support
P01HBS;ABSGCHGG;BDMAMLBA;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2012-11-06T08:12:26Z;Enabled;;@Support
P01HBS;ABSGCHGG;BDMAMLBA;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2012-10-30T15:43:30Z;Enabled;;@Support
P01HBS;ABSGCHGG;BEFRCH22;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2011-06-28T12:17:08Z;Enabled;;@Support
P01HBS;ABSGCHGG;BEFRCH22;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2011-07-05T05:13:58Z;Enabled;;@Support
P01HBS;ABSGCHGG;BEGNIRTH;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;;Enabled;;@Support
P01HBS;ABSGCHGG;BEGNIRTH;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Send;;;Enabled;;@Support
P01HBS;ABSGCHGG;BESCAOLU;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2012-02-14T15:52:10Z;Enabled;;@Support
P01HBS;ABSGCHGG;BESCAOLU;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2012-02-09T14:25:15Z;Enabled;;@Support
P01HBS;ABSGCHGG;BFCEDZAL;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2012-02-01T15:39:46Z;Enabled;;@Support
P01HBS;ABSGCHGG;BFCEDZAL;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2012-02-02T08:18:10Z;Enabled;;@Support
P01HBS;ABSGCHGG;BGFICGCG;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2008-10-09T05:54:12Z;Enabled;;@Support
P01HBS;ABSGCHGG;BGFICGCG;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Send;;;Enabled;;@Support
P01HBS;ABSGCHGG;BGFIFRPP;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2013-03-18T14:07:22Z;Enabled;;@Support
P01HBS;ABSGCHGG;BGFIFRPP;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2013-03-15T14:28:41Z;Enabled;;@Support
