Numeric sort;1;NAME;Language;Domicile;Nationality;Country of taxation;Reporting currency;manual_SWIFT;Product;Registered Ownership;Primary contact person;Primary Contact Remark
937;SNB;CORNER BANCA S.A. LUGANO;English;Switzerland;Switzerland;Switzerland;CHF;CBLUCH22;;;;
1000;ZKBKCHZZ80A;SNB Schweizerische Nationalbank;German;Switzerland;Switzerland;Switzerland;CHF;SNBZCHZZ;;;;
1003;CANCCA81;ZUERCHER KB BC 700;English;Switzerland;Switzerland;Switzerland;CHF;ZKBKCHZZ80A;;;;
1008;1012;CANACCORD CAPITAL CORP.;English;Canada;Canada;Canada;CHF;CANCCA81;;;;
1012;1023;CORNER BANK AG;French;Switzerland;Switzerland;Switzerland;CHF;;;;;
1023;TDOMGB31;JPMORGAN HEDGE FUND SERV.;English;Ireland;Ireland;Ireland;USD;;;;;
1035;RBOSGB2LTCM;TORONTO DOMINION BK LDN;English;United Kingdom;United Kingdom;United Kingdom;GBP;TDOMGB31;;;;
1053;HYVEDEMMGCS;ROYAL BANK OF SCOTL. LDN;English;United Kingdom;United Kingdom;United Kingdom;GBP;RBOSGB2LTCM;;;;
1054;CABOITMH;UNICREDITO;English;Germany;Germany;Germany;EUR;HYVEDEMMGCS;;;;
1062;COBALULX;BANCA IMI SPA;English;Italy;Italy;Italy;EUR;CABOITMH;;;;
1068;DEFLGB22;COMMERZBANK INTERNAT. SA;English;Luxembourg;Luxembourg;Luxembourg;CHF;COBALULX;;;;
1075;1082;DAIWA SECURITIES SMBC;English;United Kingdom;United Kingdom;United Kingdom;GBP;DEFLGB22;;;;
1082;1094;SBI FUNDS MAN. PRIV. LIM.;English;India;India;India;USD;;;;;
1094;VONTCHZZ;LEONTEQ AG;English;Switzerland;Switzerland;Switzerland;CHF;;;;;
1104;1109;VONTOBEL AG, ZURICH;English;Switzerland;Switzerland;Switzerland;CHF;VONTCHZZ;;;;
1109;1114;KRYS & ASSOCIATES LIQUIDA;English;British Virgin Islands;British Virgin Islands;British Virgin Islands;USD;;;;;
1114;SOLAGB2L;HSBC FUND SERVICES, NY;English;United States of America;United States of America;United States of America;USD;;;;;
