ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume
2 BAL 12-22;CH0194695083;BAL122;19469508;107.2;;;20190110;107.2;;0;0;CHF;20180118;108.65;20181212;107;20121010;20221007;XSWX;BO;CH;1000000
2 BCG 17-99;CH0367013981;BCG17;36701398;99.75;99.75;99.75;20190111;99.1;99.75;120000;120000;CHF;20180118;102.45;20181221;98.9;20170626;;XSWX;BO;CH;0
2 BKB 10-32;CH0119153663;BSK102;11915366;119.1;;;20171102;119.1;;0;0;CHF;;;;;20101109;20321110;XSWX;BO;CH;0
2 CFT 15-20;CH0283851423;CFT15;28385142;101.01;101.01;101.01;20190111;101;101.01;5000;5000;CHF;20180717;103;20180912;99.7;20150619;20200619;XSWX;BO;CH;0
2 CPH 18-23;CH0434678360;CPH18;43467836;100.35;100.35;100.35;20190111;100.35;100.35;50000;50000;CHF;20181207;101.5;20190108;99.6;20181010;20231010;XSWX;BO;CH;0
2 EIDG 10-21;CH0111999816;E10;11199981;106.57;;;20190109;106.57;;0;0;CHF;20180117;108.96;20190109;106.44;20100415;20210423;XSWX;BO;CH;0
2 EIDG 11-22;CH0127181011;E11;12718101;109.35;109.35;109.35;20190111;109.25;109.35;150000;150000;CHF;20180116;111.28;20181016;109.03;20110512;20220520;XSWX;BO;CH;240000
2 EIDG 14-64;CH0224397007;E141;22439700;164;;;20181128;164.55;;0;0;CHF;20180116;162.15;20180221;148.02;20140612;20640623;XSWX;BO;CH;110000
2 FSTCHMO 17-20;CH0389606069;FMS175;38960606;100.2;;;20181025;100.2;;0;0;CHF;20180821;100.25;20181025;100.1;20171124;20201119;XSWX;AS;CH;0
2 GL KB 18-99;CH0373476511;GKB18;37347651;100.35;100.35;100.25;20190111;100.3;100.25;90000;90000;CHF;20180528;101.55;20180425;99.3;20180316;;XSWX;BO;CH;0
2 GR KB 11-41;CH0137992803;GRK11;13799280;144.1;;;;144.1;;0;0;CHF;;;;;20110928;20410925;XSWX;BO;CH;0
2 HBMHE 15-21;CH0283726807;HBM151;28372680;101.15;;;20190109;101.15;;0;0;CHF;20180308;104.4;20181015;100.6;20150710;20210707;XSWX;BO;CH;0
2 HIRSLAND 15-25;CH0269698798;HIR151;26969879;102.95;102.95;102.95;20190111;103.75;102.95;50000;50000;CHF;20180821;106.8;20181113;97.6;20150223;20250221;XSWX;BO;CH;0
2 KKWGD 13-20;CH0215650711;KER13;21565071;102.05;;;20190109;102.05;;0;0;CHF;20180905;103.35;20180607;101.95;20130926;20200925;XSWX;BO;CH;0
2 KT AG 10-28;CH0119858659;AG10;11985865;118.6;;;20181115;118.6;;0;0;CHF;20180702;118.8;20181022;115.9;20101209;20281212;XSWX;BO;CH;1500000
2 KT GE 11-41;CH0142337697;GE112;14233769;125.85;;;20181115;126;;0;0;CHF;20180903;124.3;20180611;121.8;20111124;20411125;XSWX;BO;CH;0
2 KT GE 13-26;CH0222050921;GE134;22205092;114.35;;;20181127;114.35;;0;0;CHF;20180117;115.15;20181115;113;20130918;20260317;XSWX;BO;CH;0
2 KT LU 13-33;CH0224581824;LU131;22458182;122.55;;;20181204;122.55;;0;0;CHF;20180705;121.15;20181008;118.3;20131024;20331025;XSWX;BO;CH;0
2 KT SG 13-38;CH0217825337;SG13;21782533;125.5;;;20190108;125.7;;0;0;CHF;20190108;125.75;20181113;121.45;20130717;20380713;XSWX;BO;CH;0
2 KT SO 13-38;CH0228138274;SO13;22813827;145.25;;;;145.25;;0;0;CHF;;;;;20131128;20381129;XSWX;BO;CH;0
2 KT SO 13-43;CH0228138282;SO131;22813828;131.05;;;;131.05;;0;0;CHF;;;;;20131128;20431126;XSWX;BO;CH;0
2 KT VD 13-33;CH0224485927;VD13;22448592;122.05;;;20181219;122.05;;0;0;CHF;20180117;123.75;20180425;119.2;20131022;20331019;XSWX;BO;CH;0
2 KT ZH 13-38;CH0217850699;ZH133;21785069;125.85;;;20180430;125.9;;0;0;CHF;20180405;126.6;20180215;122.85;20130725;20380726;XSWX;BO;CH;0
2 KW LINTH 17-23;CH0357483160;KLL17;35748316;104.7;104.7;104.7;20190111;104.35;104.7;60000;60000;CHF;20180824;105;20180612;102.7;20170308;20231207;XSWX;BO;CH;0
2 LAFAHOLC 13-22;CH0228531452;HOL13;22853145;105;;;20190103;105;;0;0;CHF;20180118;107.7;20181219;104.7;20131205;20220603;XSWX;BO;CH;380000
2 LU KB 10-33;CH0120381592;LUK102;12038159;119.65;;;20181116;119.65;;0;0;CHF;20180302;120.1;20181116;116.45;20101201;20331201;XSWX;BO;CH;0
2 LU KB 10-39;CH0120736852;LUK103;12073685;123.05;;;20180905;123.15;;0;0;CHF;20180122;124.65;20180905;120.35;20101220;20391221;XSWX;BO;CH;0
2 NANTDRA 16-26;CH0306626224;NDD16;30662622;103.05;103.05;103.05;20190111;103.35;103.05;20000;20000;CHF;20190104;103.8;20180201;101.35;20160129;20260129;XSWX;BO;CH;0
2 PB S543 11-19;CH0124138816;PB543;12413881;101.92;;;20181210;101.92;;0;0;CHF;20180131;104.25;20181210;102.15;20160301;20190924;XSWX;PB;CH;0
2 PZ S405 10-25;CH0119015086;PZ405;11901508;113.53;;;20190110;113.42;;0;0;CHF;20180528;114.04;20181025;112.57;20160301;20251027;XSWX;PB;CH;0
2 RAI 10-23;CH0116712644;RAI102;11671264;109.15;;;20181220;109.15;;0;0;CHF;20180122;111;20181005;108.45;20100917;20230918;XSWX;BO;CH;0
2 RAI 18-99;CH0411559377;RAI181;41155937;101.7;101.8;101.65;20190111;101.45;101.8;115000;115000;CHF;20181008;104.2;20180503;100;20180502;;XSWX;CO;CH;0
2 SG KB 11-19;CH0142132023;SGK111;14213202;102.16;;;20181221;102.16;;0;0;CHF;20180115;103.8;20181206;101.99;20111214;20191211;XSWX;BO;CH;0
2 SL 18-99;CH0404311729;SWL18;40431172;99.9;100.2;99.9;20190111;100.05;100.1;130000;130000;CHF;20181015;100.9;20181218;99.45;20180320;;XSWX;BO;CH;4500000
2 SPS 13-20;CH0215650737;SPS131;21565073;103.1;;;20190109;103.1;;0;0;CHF;20180118;105.35;20190109;103.1;20131017;20201016;XSWX;BO;CH;0
2 SPS 14-24;CH0257042173;SPS142;25704217;105.2;;;20190109;105.2;;0;0;CHF;20180117;109.6;20190109;105.15;20141208;20241206;XSWX;BO;CH;0
2 TEMENOS 14-19;CH0240656733;TEM14;24065673;100.05;100.05;100.05;20190111;100.05;100.05;30000;30000;CHF;20180207;101.79;20190111;100.05;20140331;20190129;XSWX;BO;CH;0
2 TEMENOS 15-22;CH0284100564;TEM15;28410056;100.5;100.5;99.9;20190111;100.45;100.05;275000;275000;CHF;20180130;105.2;20181211;99.2;20150615;20220615;XSWX;BO;CH;0
2 ZH 13-43;CH0228531460;ZUR133;22853146;127.55;;;20180710;127.55;;0;0;CHF;20180529;126.85;20180515;123;20131216;20431215;XSWX;BO;CH;0
2 ZKB 10-25;CH0116306868;ZKB114;11630686;113.4;;;20181128;113.4;;0;0;CHF;20180529;113.95;20181113;112.1;20100906;20250903;XSWX;BO;CH;0
2 ZKB 10-34;CH0119729793;ZKB115;11972979;120;;;20181113;120;;0;0;CHF;20180116;121.05;20181113;116.8;20101126;20341127;XSWX;BO;CH;0
2 ZKB 10-40;CH0120408122;ZKB116;12040812;124.4;;;20181205;124.4;;0;0;CHF;20180329;122.05;20180202;120.55;20101210;20401211;XSWX;BO;CH;0
