ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume
2.75 NORDEA 11-21;CH0125589850;NDA112;12558985;106.9;;;20181210;106.9;;0;0;CHF;20180131;109.2;20181210;107;20110318;20210317;XSWX;BO;FI;0
2.75 OKB 05-20;CH0020372402;OKB05;2037240;103.67;;;20181130;103.67;;0;0;CHF;20180227;106.65;20181130;103.9;20050126;20200123;XSWX;BO;AT;0
2.75 SLOVAKIA 12-22;CH0181915585;SVK121;18191558;110.25;;;20181004;110.25;;0;0;CHF;20180313;111.95;20181004;110.15;20120423;20220420;XSWX;BO;SK;0
2.75 SNCFM 09-19;CH0020626773;SNC09;2062677;100.08;;;20190110;100.09;;0;0;CHF;20180117;103.51;20190110;100.09;20090227;20190118;XSWX;BO;FR;10000000
2.75 WELTBK 09-19;CH0100128385;WEL09;10012838;101.15;;;20190109;101.15;;0;0;CHF;20180123;104.45;20190109;101.15;20090420;20190502;XSWX;BO;US;0
2.85 GAZPROM 13-19;CH0226274261;GAZ13;22627426;101.88;101.97;101.88;20190111;101.88;101.97;335000;335000;CHF;20180228;104.35;20180912;101.5;20131023;20191022;XSWX;BO;RU;200000
2.875 ALFA 17-22;CH0385518086;ALF17;38551808;98.5;98.5;98.5;20190111;98.5;98.5;5000;5000;CHF;20180326;100.5;20180925;95.1;20171107;20221107;XSWX;BO;IE;0
2.875 CFCB 05-25;CH0020593874;EEP051;2059387;115.25;;;20190103;115.25;;0;0;CHF;20181205;116.5;20180212;113.9;20050307;20250307;XSWX;BO;LU;0
2.875 CFFL 10-30;CH0111862063;DEX10;11186206;137.9;;;;137.9;;0;0;CHF;;;;;20100416;20300418;XSWX;BO;FR;0
2.875 COMP FIN 09-19;CH0104007577;CFF092;10400757;102.4;;;20181217;102.41;;0;0;CHF;20180227;105.55;20181217;102.62;20090901;20190905;XSWX;BO;FR;2350000
